,date,confirmed_cases_cumulative,confirmed_cases,7dconfirmed_cases,inc,Face_Masks_Required_in_Public
217,2020-09-05,12818,201.0,171.85714285714286,-8.714285714285722,Yes
218,2020-09-06,12911,93.0,167.14285714285714,-4.714285714285722,Yes
219,2020-09-07,12960,49.0,158.42857142857142,-8.714285714285722,Yes
220,2020-09-08,13004,44.0,145.28571428571428,-13.142857142857139,Yes
221,2020-09-09,13106,102.0,130.57142857142858,-14.714285714285694,Yes
222,2020-09-10,13281,175.0,126.71428571428571,-3.8571428571428754,Yes
223,2020-09-11,13445,164.0,118.28571428571429,-8.428571428571416,Yes
224,2020-09-12,13579,134.0,108.71428571428571,-9.571428571428584,Yes
225,2020-09-13,13697,118.0,112.28571428571429,3.5714285714285836,Yes
226,2020-09-14,13784,87.0,117.71428571428571,5.428571428571416,Yes
227,2020-09-15,13896,112.0,127.42857142857143,9.714285714285722,Yes
228,2020-09-16,14020,124.0,130.57142857142858,3.142857142857153,Yes
229,2020-09-17,14101,81.0,117.14285714285714,-13.428571428571445,Yes
230,2020-09-18,14245,144.0,114.28571428571429,-2.857142857142847,Yes
231,2020-09-19,14424,179.0,120.71428571428571,6.428571428571416,Yes
232,2020-09-20,14504,80.0,115.28571428571429,-5.428571428571416,Yes
233,2020-09-21,14564,60.0,111.42857142857143,-3.857142857142861,Yes
234,2020-09-22,14694,130.0,114.0,2.5714285714285694,Yes
235,2020-09-23,14882,188.0,123.14285714285714,9.142857142857139,Yes
236,2020-09-24,14990,108.0,127.0,3.857142857142861,Yes
237,2020-09-25,15184,194.0,134.14285714285714,7.142857142857139,Yes
238,2020-09-26,15418,234.0,142.0,7.857142857142861,Yes
239,2020-09-27,15513,95.0,144.14285714285714,2.142857142857139,Yes
240,2020-09-28,15608,95.0,149.14285714285714,5.0,Yes
241,2020-09-29,15788,180.0,156.28571428571428,7.142857142857139,Yes
242,2020-09-30,15978,190.0,156.57142857142858,0.285714285714306,Yes
